player_full_name,goals,assists,season_year,goal_contributions,points,price,roi,position,minutes_played,clean_sheets,goal_contributions_pgw,points_pgw
Pierre-Emerick Aubameyang,22,5,2020,27,205,10.9,18.81,,3136,10,0.71,5.39
Alexandre Lacazette,10,7,2020,17,118,9.2,12.83,,1867,5,0.45,3.11
Jack Grealish,8,7,2020,15,149,5.9,25.25,,3233,7,0.39,3.92
Chris Wood,14,1,2020,15,136,6.2,21.94,,2436,11,0.39,3.58
Willian Borges Da Silva,9,9,2020,18,168,7.3,23.01,,2595,10,0.47,4.42
Christian Pulisic,9,8,2020,17,127,7.4,17.16,,1717,6,0.45,3.34
Tammy Abraham,15,6,2020,21,153,7.3,20.96,,2206,7,0.55,4.03
Richarlison de Andrade,13,5,2020,18,165,8.2,20.12,,3070,9,0.47,4.34
Jamie Vardy,23,7,2020,30,210,9.7,21.65,,3032,11,0.79,5.53
Harvey Barnes,6,10,2020,16,133,5.8,22.93,,2075,9,0.42,3.5
Trent Alexander-Arnold,4,15,2020,19,210,7.7,27.27,,3173,14,0.5,5.53
Roberto Firmino,9,9,2020,18,155,9.3,16.67,,2985,16,0.47,4.08
Mohamed Salah,19,10,2020,29,233,12.5,18.64,,2879,16,0.76,6.13
Sadio Mané,18,10,2020,28,221,12.1,18.26,,2745,12,0.74,5.82
Sergio Agüero,16,6,2020,22,132,11.6,11.38,,1449,5,0.58,3.47
Gabriel Fernando de Jesus,14,8,2020,22,146,9.9,14.75,,2018,12,0.58,3.84
Raheem Sterling,20,6,2020,26,204,12.0,17.0,,2651,13,0.68,5.37
Kevin De Bruyne,13,23,2020,36,251,10.6,23.68,,2790,18,0.95,6.61
Riyad Mahrez,11,14,2020,25,175,8.6,20.35,,1934,10,0.66,4.61
David Silva,6,12,2020,18,139,7.5,18.53,,1821,11,0.47,3.66
Marcus Rashford,17,8,2020,25,177,8.9,19.89,,2645,9,0.66,4.66
Anthony Martial,17,9,2020,26,200,8.5,23.53,,2625,14,0.68,5.26
Bruno Miguel Borges Fernandes,8,8,2020,16,117,9.0,13.0,,1187,9,0.42,3.08
Danny Ings,22,2,2020,24,198,7.6,26.05,,2800,6,0.63,5.21
Harry Kane,18,2,2020,20,158,11.0,14.36,,2588,6,0.53,4.16
Heung-Min Son,11,13,2020,24,169,9.7,17.42,,2478,7,0.63,4.45
Raúl Jiménez,17,7,2020,24,194,8.0,24.25,,3241,15,0.63,5.11
Alexandre Lacazette,13,12,2019,25,166,9.4,17.66,,2497,6,0.66,4.37
Pierre-Emerick Aubameyang,22,7,2019,29,205,10.8,18.98,,2722,7,0.76,5.39
Ryan Fraser,7,14,2019,21,181,6.4,28.28,,3165,9,0.55,4.76
Callum Wilson,14,12,2019,26,168,6.9,24.35,,2528,9,0.68,4.42
Joshua King,12,3,2019,15,141,6.4,22.03,,2963,10,0.39,3.71
Ashley Barnes,12,3,2019,15,122,5.6,21.79,,2378,7,0.39,3.21
Eden Hazard,16,15,2019,31,238,11.0,21.64,,2918,12,0.82,6.26
Wilfried Zaha,10,11,2019,21,143,7.0,20.43,,3037,11,0.55,3.76
Gylfi Sigurdsson,13,6,2019,19,182,7.4,24.59,,3122,15,0.5,4.79
Richarlison de Andrade,13,3,2019,16,153,6.4,23.91,,2662,11,0.42,4.03
Aleksandar Mitrovic,11,4,2019,15,134,6.3,21.27,,3280,5,0.39,3.53
Jamie Vardy,18,5,2019,23,174,9.0,19.33,,2726,11,0.61,4.58
Virgil van Dijk,4,4,2019,8,208,6.7,31.04,,3384,20,0.21,5.47
Andrew Robertson,0,12,2019,12,213,6.7,31.79,,3216,21,0.32,5.61
Sadio Mané,22,3,2019,25,231,10.3,22.43,,3076,19,0.66,6.08
Mohamed Salah,22,12,2019,34,259,13.2,19.62,,3254,21,0.89,6.82
Roberto Firmino,12,8,2019,20,160,9.3,17.2,,2606,19,0.53,4.21
Raheem Sterling,17,15,2019,32,234,11.7,20.0,,2770,17,0.84,6.16
Leroy Sané,10,12,2019,22,156,9.3,16.77,,1857,9,0.58,4.11
Bernardo Mota Veiga de Carvalho e Silva,7,8,2019,15,154,7.8,19.74,,2849,15,0.39,4.05
Sergio Agüero,21,11,2019,32,201,12.0,16.75,,2457,17,0.84,5.29
Paul Pogba,13,10,2019,23,179,8.6,20.81,,3007,8,0.61,4.71
Marcus Rashford,10,7,2019,17,128,7.3,17.53,,2331,6,0.45,3.37
Salomón Rondón,11,8,2019,19,148,5.9,25.08,,2601,9,0.5,3.89
Christian Eriksen,8,12,2019,20,161,9.2,17.5,,2770,8,0.53,4.24
Heung-Min Son,12,8,2019,20,159,8.6,18.49,,2033,10,0.53,4.18
Harry Kane,17,6,2019,23,160,12.6,12.7,,2423,9,0.61,4.21
Gerard Deulofeu,10,5,2019,15,133,5.7,23.33,,2064,9,0.39,3.5
Marko Arnautovic,10,5,2019,15,117,6.7,17.46,,1988,4,0.39,3.08
Felipe Anderson Pereira Gomes,9,6,2019,15,155,6.8,22.79,,3045,7,0.39,4.08
Diogo Jota,9,8,2019,17,139,6.3,22.06,,2352,10,0.45,3.66
