price,games_played,goals,assists,goal_contributions,total_points,points_per_game,roi,position,team,minutes,FDR_Ave
5.4,0,0,0,0,0,0.0,0.0,MID,Arsenal,0,0.061
6.8,0,0,0,0,0,0.0,0.0,FWD,Arsenal,5,0.061
6.0,3,0,0,0,14,4.7,2.333,DEF,Arsenal,270,0.061
8.1,3,2,1,3,22,7.3,2.716,FWD,Arsenal,270,0.061
4.0,0,0,0,0,0,0.0,0.0,GK,Arsenal,0,0.061
5.5,2,0,0,0,8,2.7,1.455,DEF,Arsenal,178,0.061
4.9,0,0,0,0,0,0.0,0.0,MID,Arsenal,0,0.061
4.9,0,0,0,0,0,0.0,0.0,DEF,Arsenal,0,0.061
6.9,2,0,0,0,7,2.3,1.014,MID,Arsenal,170,0.061
4.5,0,0,0,0,0,0.0,0.0,MID,Arsenal,0,0.061
8.4,3,0,0,0,7,2.3,0.8333,MID,Arsenal,253,0.061
5.5,3,0,0,0,20,6.7,3.636,GK,Arsenal,270,0.061
6.4,3,0,0,0,3,1.0,0.4688,MID,Arsenal,222,0.061
10.1,3,1,3,4,24,8.0,2.376,MID,Arsenal,256,0.061
6.0,3,0,0,0,14,4.7,2.333,DEF,Arsenal,270,0.061
5.0,3,1,0,1,15,5.0,3.0,MID,Arsenal,270,0.061
4.4,0,0,0,0,0,0.0,0.0,DEF,Arsenal,0,0.061
4.9,0,0,0,0,0,0.0,0.0,DEF,Arsenal,0,0.061
6.9,1,1,0,1,9,3.0,1.304,MID,Arsenal,93,0.061
6.5,3,0,0,0,14,4.7,2.154,DEF,Arsenal,270,0.061
5.0,1,0,0,0,7,3.5,1.4,DEF,Arsenal,78,0.061
4.5,2,0,0,0,7,3.5,1.556,GK,Arsenal,180,0.061
6.8,0,0,0,0,0,0.0,0.0,MID,Arsenal,0,0.061
5.8,0,0,0,0,2,1.0,0.3448,DEF,Arsenal,42,0.061
4.5,0,0,0,0,0,0.0,0.0,MID,Arsenal,0,0.061
6.0,0,0,0,0,0,0.0,0.0,MID,Arsenal,0,0.061
4.5,0,0,0,0,0,0.0,0.0,MID,Arsenal,0,0.061
4.5,0,0,0,0,0,0.0,0.0,GK,Arsenal,0,0.061
6.5,3,0,0,0,4,1.3,0.6154,MID,Aston Villa,178,0.061
5.3,0,0,0,0,2,1.0,0.3774,MID,Aston Villa,42,0.061
4.9,0,0,0,0,0,0.0,0.0,MID,Aston Villa,0,0.061
5.4,0,0,0,0,0,0.0,0.0,MID,Aston Villa,0,0.061
4.5,2,0,0,0,3,1.5,0.6667,DEF,Aston Villa,96,0.061
4.5,0,0,0,0,0,0.0,0.0,MID,Aston Villa,0,0.061
6.5,0,0,0,0,0,0.0,0.0,MID,Aston Villa,0,0.061
4.5,0,0,0,0,0,0.0,0.0,DEF,Aston Villa,0,0.061
4.5,3,0,1,1,11,3.7,2.444,DEF,Aston Villa,238,0.061
5.0,0,0,0,0,0,0.0,0.0,MID,Aston Villa,0,0.061
6.0,0,2,0,2,14,4.7,2.333,FWD,Aston Villa,82,0.061
4.0,0,0,0,0,0,0.0,0.0,GK,Aston Villa,0,0.061
4.0,0,0,0,0,0,0.0,0.0,DEF,Aston Villa,0,0.061
5.4,0,0,0,0,0,0.0,0.0,MID,Aston Villa,0,0.061
5.0,0,0,0,0,0,0.0,0.0,MID,Aston Villa,0,0.061
4.0,0,0,0,0,0,0.0,0.0,DEF,Aston Villa,0,0.061
4.5,3,0,0,0,5,1.7,1.111,DEF,Aston Villa,270,0.061
4.9,0,0,0,0,3,1.0,0.6122,DEF,Aston Villa,41,0.061
4.0,0,0,0,0,0,0.0,0.0,GK,Aston Villa,0,0.061
5.0,3,0,0,0,6,2.0,1.2,GK,Aston Villa,270,0.061
5.5,3,0,0,0,6,2.0,1.091,MID,Aston Villa,215,0.061
4.4,0,0,0,0,0,0.0,0.0,DEF,Aston Villa,0,0.061
4.0,0,0,0,0,3,1.0,0.75,DEF,Aston Villa,93,0.061
4.5,0,0,0,0,0,0.0,0.0,GK,Aston Villa,0,0.061
4.5,3,0,0,0,5,1.7,1.111,DEF,Aston Villa,270,0.061
5.5,0,0,1,1,7,2.3,1.273,MID,Aston Villa,116,0.061
5.1,3,0,0,0,6,2.0,1.176,MID,Aston Villa,270,0.061
4.0,0,0,0,0,0,0.0,0.0,GK,Aston Villa,0,0.061
4.0,0,0,0,0,0,0.0,0.0,DEF,Aston Villa,0,0.061
5.5,3,0,1,1,10,3.3,1.818,MID,Aston Villa,270,0.061
8.9,3,0,1,1,9,3.0,1.011,FWD,Aston Villa,185,0.061
5.1,3,2,0,2,20,6.7,3.922,MID,Aston Villa,226,0.061
5.4,0,0,0,0,0,0.0,0.0,MID,Aston Villa,16,0.061
4.0,1,0,0,0,1,1.0,0.25,DEF,Aston Villa,78,0.061
4.0,0,0,0,0,0,0.0,0.0,DEF,Aston Villa,0,0.061
4.0,0,0,0,0,0,0.0,0.0,GK,Aston Villa,0,0.061
4.5,0,0,0,0,0,0.0,0.0,DEF,Bournemouth,0,0.026
5.0,0,0,0,0,0,0.0,0.0,MID,Bournemouth,0,0.026
4.5,0,0,0,0,0,0.0,0.0,MID,Bournemouth,0,0.026
4.9,0,0,0,0,0,0.0,0.0,MID,Bournemouth,0,0.026
4.9,2,0,0,0,5,1.7,1.02,MID,Bournemouth,155,0.026
5.0,3,1,0,1,10,3.3,2.0,MID,Bournemouth,263,0.026
5.4,0,0,0,0,0,0.0,0.0,FWD,Bournemouth,0,0.026
5.0,0,0,0,0,0,0.0,0.0,MID,Bournemouth,0,0.026
4.5,0,0,0,0,0,0.0,0.0,MID,Bournemouth,0,0.026
4.0,0,0,0,0,0,0.0,0.0,DEF,Bournemouth,0,0.026
4.5,0,0,0,0,2,1.0,0.4444,FWD,Bournemouth,26,0.026
4.5,3,0,0,0,4,1.3,0.8889,DEF,Bournemouth,245,0.026
5.4,2,0,1,1,8,2.7,1.481,MID,Bournemouth,187,0.026
4.4,0,0,0,0,0,0.0,0.0,DEF,Bournemouth,0,0.026
5.0,1,0,1,1,7,2.3,1.4,MID,Bournemouth,110,0.026
4.0,0,0,0,0,0,0.0,0.0,GK,Bournemouth,0,0.026
4.9,0,0,0,0,1,1.0,0.2041,MID,Bournemouth,6,0.026
5.0,1,0,0,0,4,1.3,0.8,MID,Bournemouth,112,0.026
5.5,3,2,1,3,19,6.3,3.455,MID,Bournemouth,270,0.026
4.9,2,0,0,0,2,1.0,0.4082,DEF,Bournemouth,166,0.026
5.0,1,1,1,2,14,4.7,2.8,MID,Bournemouth,106,0.026
4.5,1,0,0,0,4,1.3,0.8889,DEF,Bournemouth,79,0.026
5.5,3,1,0,1,13,4.3,2.364,MID,Bournemouth,264,0.026
4.5,0,0,0,0,0,0.0,0.0,GK,Bournemouth,0,0.026
4.5,3,0,0,0,5,1.7,1.111,DEF,Bournemouth,270,0.026
4.5,1,0,0,0,3,3.0,0.6667,GK,Bournemouth,90,0.026
4.5,1,0,0,0,3,1.5,0.6667,DEF,Bournemouth,103,0.026
4.5,2,0,0,0,4,1.3,0.8889,DEF,Bournemouth,188,0.026
4.0,0,0,0,0,0,0.0,0.0,GK,Bournemouth,0,0.026
6.0,2,0,0,0,4,2.0,0.6667,FWD,Bournemouth,135,0.026
4.5,3,0,0,0,4,1.3,0.8889,DEF,Brentford,218,0.07
4.5,0,0,0,0,0,0.0,0.0,MID,Brentford,0,0.07
4.5,3,0,2,2,12,4.0,2.667,DEF,Brentford,270,0.07
5.0,1,0,0,0,5,1.7,1.0,MID,Brentford,121,0.07
4.9,0,0,0,0,0,0.0,0.0,MID,Brentford,0,0.07
4.5,3,0,0,0,10,3.3,2.222,GK,Brentford,270,0.07
4.4,0,0,0,0,0,0.0,0.0,DEF,Brentford,0,0.07
4.4,0,0,0,0,0,0.0,0.0,DEF,Brentford,0,0.07
5.0,3,0,0,0,7,2.3,1.4,MID,Brentford,219,0.07
5.5,3,0,1,1,9,3.0,1.636,MID,Brentford,238,0.07
4.0,0,0,0,0,0,0.0,0.0,DEF,Brentford,0,0.07
4.5,0,0,0,0,0,0.0,0.0,MID,Brentford,0,0.07
5.0,1,0,0,0,4,1.3,0.8,MID,Brentford,96,0.07
7.1,3,3,0,3,24,8.0,3.38,MID,Brentford,269,0.07
4.4,0,0,0,0,1,1.0,0.2273,DEF,Brentford,1,0.07
5.0,3,0,0,0,5,1.7,1.0,MID,Brentford,270,0.07
4.9,0,0,0,0,2,1.0,0.4082,MID,Brentford,23,0.07
4.5,0,0,0,0,0,0.0,0.0,MID,Brentford,0,0.07
4.5,3,0,0,0,2,0.7,0.4444,DEF,Brentford,270,0.07
4.5,2,0,0,0,4,1.3,0.8889,DEF,Brentford,231,0.07
5.5,2,0,1,1,9,3.0,1.636,MID,Brentford,164,0.07
5.9,0,0,0,0,0,0.0,0.0,FWD,Brentford,0,0.07
7.3,0,0,0,0,0,0.0,0.0,FWD,Brentford,0,0.07
4.0,0,0,0,0,0,0.0,0.0,GK,Brentford,0,0.07
6.1,3,2,1,3,21,7.0,3.443,FWD,Brentford,245,0.07
4.5,0,0,0,0,0,0.0,0.0,MID,Brentford,0,0.07
4.5,0,0,0,0,0,0.0,0.0,DEF,Brentford,0,0.07
4.9,0,0,0,0,3,1.0,0.6122,MID,Brentford,38,0.07
4.0,0,0,0,0,1,1.0,0.25,DEF,Brentford,15,0.07
4.5,0,0,0,0,0,0.0,0.0,MID,Brentford,0,0.07
