name,price,games_played,goals,assists,goal_contributions,total_points,points_per_game,roi,position,team,minutes,FDR_Average
Fábio Vieira,5.4,0,0,0,0,0,0.0,0.0,MID,Arsenal,0,0.158
G.Jesus,6.8,0,0,0,0,1,0.5,0.1471,FWD,Arsenal,15,0.158
Gabriel,6.0,4,1,0,1,29,7.2,4.833,DEF,Arsenal,360,0.158
Havertz,8.1,4,2,1,3,24,6.0,2.963,FWD,Arsenal,360,0.158
Hein,4.0,0,0,0,0,0,0.0,0.0,GK,Arsenal,0,0.158
J.Timber,5.5,3,0,0,0,13,3.2,2.364,DEF,Arsenal,268,0.158
Jorginho,4.9,1,0,0,0,2,2.0,0.4082,MID,Arsenal,90,0.158
Kiwior,4.9,0,0,0,0,0,0.0,0.0,DEF,Arsenal,0,0.158
Martinelli,6.9,3,0,0,0,10,2.5,1.449,MID,Arsenal,249,0.158
Nwaneri,4.5,0,0,0,0,1,1.0,0.2222,MID,Arsenal,4,0.158
Ødegaard,8.3,3,0,0,0,7,2.3,0.8434,MID,Arsenal,253,0.158
Raya,5.5,4,0,0,0,29,7.2,5.273,GK,Arsenal,360,0.158
Rice,6.3,3,0,0,0,3,1.0,0.4762,MID,Arsenal,222,0.158
Saka,10.0,4,1,4,5,31,7.8,3.1,MID,Arsenal,341,0.158
Saliba,6.0,4,0,0,0,19,4.8,3.167,DEF,Arsenal,360,0.158
Thomas,5.0,4,1,0,1,18,4.5,3.6,MID,Arsenal,360,0.158
Tierney,4.4,0,0,0,0,0,0.0,0.0,DEF,Arsenal,0,0.158
Tomiyasu,4.8,0,0,0,0,0,0.0,0.0,DEF,Arsenal,0,0.158
Trossard,6.9,2,1,0,1,12,3.0,1.739,MID,Arsenal,172,0.158
White,6.5,4,0,0,0,20,5.0,3.077,DEF,Arsenal,360,0.158
Zinchenko,4.9,1,0,0,0,7,3.5,1.429,DEF,Arsenal,78,0.158
Neto,4.4,2,0,0,0,7,3.5,1.591,GK,Arsenal,180,0.158
Sterling,6.8,0,0,0,0,1,1.0,0.1471,MID,Arsenal,10,0.158
Calafiori,5.8,0,0,0,0,2,1.0,0.3448,DEF,Arsenal,42,0.158
Lewis-Skelly,4.5,0,0,0,0,0,0.0,0.0,MID,Arsenal,0,0.158
Merino,6.0,0,0,0,0,0,0.0,0.0,MID,Arsenal,0,0.158
Oulad M'hand,4.5,0,0,0,0,0,0.0,0.0,MID,Arsenal,0,0.158
Setford,4.5,0,0,0,0,0,0.0,0.0,GK,Arsenal,0,0.158
Kacurri,4.0,0,0,0,0,0,0.0,0.0,DEF,Arsenal,0,0.158
Heaven,4.0,0,0,0,0,0,0.0,0.0,DEF,Arsenal,0,0.158
Kabia,4.5,0,0,0,0,0,0.0,0.0,MID,Arsenal,0,0.158
Bailey,6.4,3,0,0,0,4,1.3,0.625,MID,Aston Villa,178,0.175
Barkley,5.3,0,0,1,1,6,2.0,1.132,MID,Aston Villa,87,0.175
Barrenechea,4.9,0,0,0,0,0,0.0,0.0,MID,Aston Villa,0,0.175
Buendia,5.4,0,0,0,0,1,1.0,0.1852,MID,Aston Villa,6,0.175
Cash,4.4,2,0,0,0,3,1.5,0.6818,DEF,Aston Villa,96,0.175
Dendoncker,4.5,0,0,0,0,0,0.0,0.0,MID,Aston Villa,0,0.175
