price,games_played,goals,assists,goal_contributions,total_points,points_per_game,roi,position,team,minutes,FDR_Ave
5.4,0,0,0,0,0,0.0,0.0,MID,Arsenal,0,0.07894736842105263
6.8,0,0,0,0,0,0.0,0.0,FWD,Arsenal,5,0.07894736842105263
6.0,2,0,0,0,12,6.0,2.0,DEF,Arsenal,180,0.07894736842105263
8.1,2,1,1,2,14,7.0,1.728,FWD,Arsenal,180,0.07894736842105263
4.0,0,0,0,0,0,0.0,0.0,GK,Arsenal,0,0.07894736842105263
5.5,1,0,0,0,7,3.5,1.273,DEF,Arsenal,99,0.07894736842105263
4.9,0,0,0,0,0,0.0,0.0,MID,Arsenal,0,0.07894736842105263
4.9,0,0,0,0,0,0.0,0.0,DEF,Arsenal,0,0.07894736842105263
7.0,2,0,0,0,6,3.0,0.8571,MID,Arsenal,154,0.07894736842105263
4.5,0,0,0,0,0,0.0,0.0,MID,Arsenal,0,0.07894736842105263
8.4,2,0,0,0,5,2.5,0.5952,MID,Arsenal,180,0.07894736842105263
5.5,2,0,0,0,18,9.0,3.273,GK,Arsenal,180,0.07894736842105263
6.4,2,0,0,0,5,2.5,0.7812,MID,Arsenal,174,0.07894736842105263
10.1,2,1,2,3,18,9.0,1.782,MID,Arsenal,166,0.07894736842105263
6.0,2,0,0,0,12,6.0,2.0,DEF,Arsenal,180,0.07894736842105263
5.0,2,1,0,1,14,7.0,2.8,MID,Arsenal,180,0.07894736842105263
4.4,0,0,0,0,0,0.0,0.0,DEF,Arsenal,0,0.07894736842105263
4.9,0,0,0,0,0,0.0,0.0,DEF,Arsenal,0,0.07894736842105263
6.9,0,1,0,1,8,4.0,1.159,MID,Arsenal,35,0.07894736842105263
6.5,2,0,0,0,12,6.0,1.846,DEF,Arsenal,180,0.07894736842105263
5.0,1,0,0,0,6,6.0,1.2,DEF,Arsenal,68,0.07894736842105263
4.5,2,0,0,0,7,3.5,1.556,GK,Arsenal,180,0.07894736842105263
6.8,0,0,0,0,0,0.0,0.0,MID,Arsenal,0,0.07894736842105263
5.9,0,0,0,0,1,1.0,0.1695,DEF,Arsenal,11,0.07894736842105263
4.5,0,0,0,0,0,0.0,0.0,MID,Arsenal,0,0.07894736842105263
6.0,0,0,0,0,0,0.0,0.0,MID,Arsenal,0,0.07894736842105263
6.5,2,0,0,0,3,1.5,0.4615,MID,Aston Villa,163,-0.02631578947368421
5.4,0,0,0,0,1,1.0,0.1852,MID,Aston Villa,14,-0.02631578947368421
4.9,0,0,0,0,0,0.0,0.0,MID,Aston Villa,0,-0.02631578947368421
5.4,0,0,0,0,0,0.0,0.0,MID,Aston Villa,0,-0.02631578947368421
4.5,2,0,0,0,3,1.5,0.6667,DEF,Aston Villa,96,-0.02631578947368421
4.5,0,0,0,0,0,0.0,0.0,MID,Aston Villa,0,-0.02631578947368421
6.5,0,0,0,0,0,0.0,0.0,MID,Aston Villa,0,-0.02631578947368421
4.5,0,0,0,0,0,0.0,0.0,DEF,Aston Villa,0,-0.02631578947368421
4.5,2,0,0,0,4,2.0,0.8889,DEF,Aston Villa,148,-0.02631578947368421
5.0,0,0,0,0,0,0.0,0.0,MID,Aston Villa,0,-0.02631578947368421
6.0,0,1,0,1,7,3.5,1.167,FWD,Aston Villa,53,-0.02631578947368421
4.0,0,0,0,0,0,0.0,0.0,GK,Aston Villa,0,-0.02631578947368421
4.0,0,0,0,0,0,0.0,0.0,DEF,Aston Villa,0,-0.02631578947368421
5.4,0,0,0,0,0,0.0,0.0,MID,Aston Villa,0,-0.02631578947368421
5.0,0,0,0,0,0,0.0,0.0,MID,Aston Villa,0,-0.02631578947368421
4.0,0,0,0,0,0,0.0,0.0,DEF,Aston Villa,0,-0.02631578947368421
4.5,2,0,0,0,3,1.5,0.6667,DEF,Aston Villa,180,-0.02631578947368421
5.0,0,0,0,0,2,1.0,0.4,DEF,Aston Villa,30,-0.02631578947368421
4.0,0,0,0,0,0,0.0,0.0,GK,Aston Villa,0,-0.02631578947368421
5.0,2,0,0,0,4,2.0,0.8,GK,Aston Villa,180,-0.02631578947368421
5.5,2,0,0,0,5,2.5,0.9091,MID,Aston Villa,125,-0.02631578947368421
4.4,0,0,0,0,0,0.0,0.0,DEF,Aston Villa,0,-0.02631578947368421
4.0,0,0,0,0,2,1.0,0.5,DEF,Aston Villa,82,-0.02631578947368421
4.5,0,0,0,0,0,0.0,0.0,GK,Aston Villa,0,-0.02631578947368421
4.5,2,0,0,0,3,1.5,0.6667,DEF,Aston Villa,180,-0.02631578947368421
5.5,0,0,1,1,5,2.5,0.9091,MID,Aston Villa,53,-0.02631578947368421
5.1,2,0,0,0,4,2.0,0.7843,MID,Aston Villa,180,-0.02631578947368421
4.0,0,0,0,0,0,0.0,0.0,GK,Aston Villa,0,-0.02631578947368421
4.0,0,0,0,0,0,0.0,0.0,DEF,Aston Villa,0,-0.02631578947368421
5.5,2,0,1,1,9,4.5,1.636,MID,Aston Villa,180,-0.02631578947368421
9.0,2,0,0,0,4,2.0,0.4444,FWD,Aston Villa,125,-0.02631578947368421
5.0,2,1,0,1,11,5.5,2.2,MID,Aston Villa,165,-0.02631578947368421
5.4,0,0,0,0,0,0.0,0.0,MID,Aston Villa,16,-0.02631578947368421
4.0,0,0,0,0,0,0.0,0.0,DEF,Aston Villa,0,-0.02631578947368421
4.5,0,0,0,0,0,0.0,0.0,DEF,Bournemouth,0,-0.03508771929824561
5.0,0,0,0,0,0,0.0,0.0,MID,Bournemouth,0,-0.03508771929824561
4.5,0,0,0,0,0,0.0,0.0,MID,Bournemouth,0,-0.03508771929824561
4.9,0,0,0,0,0,0.0,0.0,MID,Bournemouth,0,-0.03508771929824561
4.9,1,0,0,0,3,1.5,0.6122,MID,Bournemouth,90,-0.03508771929824561
5.0,2,0,0,0,3,1.5,0.6,MID,Bournemouth,173,-0.03508771929824561
5.4,0,0,0,0,0,0.0,0.0,FWD,Bournemouth,0,-0.03508771929824561
5.0,0,0,0,0,0,0.0,0.0,MID,Bournemouth,0,-0.03508771929824561
4.5,0,0,0,0,0,0.0,0.0,MID,Bournemouth,0,-0.03508771929824561
4.0,0,0,0,0,0,0.0,0.0,DEF,Bournemouth,0,-0.03508771929824561
4.5,0,0,0,0,2,1.0,0.4444,FWD,Bournemouth,26,-0.03508771929824561
4.5,2,0,0,0,3,1.5,0.6667,DEF,Bournemouth,180,-0.03508771929824561
5.4,1,0,0,0,3,1.5,0.5556,MID,Bournemouth,97,-0.03508771929824561
4.4,0,0,0,0,0,0.0,0.0,DEF,Bournemouth,0,-0.03508771929824561
