name,price,team,goals,assists,goal_contributions,games_played,minutes,total_points,points_per_game,roi,roi_per_gw,position
Raya,£5.5,Arsenal,0,0,0,38,3420,142,3.7,25.82,0.6794736842105263,GK
Arrizabalaga,£4.5,Arsenal,0,0,0,31,2790,106,3.4,23.56,0.76,GK
Hein,£4.0,Arsenal,0,0,0,0,0,0,0.0,0.0,0.0,GK
Setford,£4.0,Arsenal,0,0,0,0,0,0,0.0,0.0,0.0,GK
Gabriel,£6.0,Arsenal,3,2,5,28,2363,117,4.2,19.5,0.6964285714285714,DEF
Saliba,£6.0,Arsenal,2,0,2,35,3039,130,3.7,21.67,0.6191428571428572,DEF
Calafiori,£5.5,Arsenal,2,1,3,11,978,39,2.1,7.091,0.6446363636363637,DEF
J.Timber,£5.5,Arsenal,1,3,4,27,2415,114,3.8,20.73,0.7677777777777778,DEF
Kiwior,£5.5,Arsenal,1,0,1,10,1117,43,2.5,7.818,0.7817999999999999,DEF
Lewis-Skelly,£5.5,Arsenal,1,0,1,15,1362,37,1.6,6.727,0.4484666666666667,DEF
White,£5.5,Arsenal,0,2,2,13,1195,50,2.9,9.091,0.6993076923076923,DEF
Zinchenko,£5.0,Arsenal,0,1,1,5,518,40,2.7,8.0,1.6,DEF
Clarke,£4.0,Arsenal,0,0,0,0,0,0,0.0,0.0,0.0,DEF
Kacurri,£4.0,Arsenal,0,0,0,0,0,0,0.0,0.0,0.0,DEF
Nichols,£4.0,Arsenal,0,0,0,0,0,0,0.0,0.0,0.0,DEF
Saka,£10.0,Arsenal,6,11,17,20,1724,127,5.1,12.7,0.635,MID
Ødegaard,£8.0,Arsenal,3,9,12,26,2321,116,3.9,14.5,0.5576923076923077,MID
Madueke,£7.0,Arsenal,7,5,12,27,2028,120,3.8,17.14,0.6348148148148148,MID
Martinelli,£7.0,Arsenal,8,4,12,25,2284,125,3.8,17.86,0.7143999999999999,MID
Trossard,£7.0,Arsenal,8,8,16,28,2546,152,4.0,21.71,0.7753571428571429,MID
Rice,£6.5,Arsenal,4,7,11,33,2823,127,3.6,19.54,0.592121212121212,MID
Merino,£6.0,Arsenal,7,2,9,17,1575,92,3.3,15.33,0.9017647058823529,MID
Fábio Vieira,£5.5,Arsenal,0,0,0,0,0,0,0.0,0.0,0.0,MID
Nørgaard,£5.5,Arsenal,5,5,10,34,2820,107,3.1,19.45,0.5720588235294117,MID
Nwaneri,£5.5,Arsenal,4,2,6,11,882,66,2.5,12.0,1.0909090909090908,MID
Zubimendi,£5.5,Arsenal,0,0,0,0,0,0,0.0,0.0,0.0,MID
Nelson,£5.0,Arsenal,1,1,2,5,483,27,2.2,5.4,1.08,MID
Kabia,£4.5,Arsenal,0,0,0,0,0,0,0.0,0.0,0.0,MID
Sambi,£4.5,Arsenal,0,0,0,0,0,0,0.0,0.0,0.0,MID
Havertz,£7.5,Arsenal,9,3,12,21,1872,97,4.2,12.93,0.6157142857142857,FWD
G.Jesus,£6.5,Arsenal,3,2,5,6,600,42,2.5,6.462,1.077,FWD
Mosquera,£5.5,Arsenal,0,0,0,0,0,0,0.0,0.0,0.0,DEF
Gyökeres,£9.0,Arsenal,0,0,0,0,0,0,0.0,0.0,0.0,FWD
Martinez,£5.0,Aston Villa,0,0,0,37,3195,111,3.0,22.2,0.6,GK
M.Bizot,£4.5,Aston Villa,0,0,0,0,0,0,0.0,0.0,0.0,GK
Gauci,£4.0,Aston Villa,0,0,0,0,0,0,0.0,0.0,0.0,GK
Marschall,£4.0,Aston Villa,0,0,0,0,0,0,0.0,0.0,0.0,GK
Cash,£4.5,Aston Villa,1,1,2,24,2069,76,2.8,16.89,0.70375,DEF
Digne,£4.5,Aston Villa,0,5,5,28,2348,89,2.8,19.78,0.7064285714285715,DEF
Konsa,£4.5,Aston Villa,2,0,2,33,2936,103,3.0,22.89,0.6936363636363636,DEF
Maatsen,£4.5,Aston Villa,1,2,3,10,1125,57,2.0,12.67,1.267,DEF
Mings,£4.5,Aston Villa,0,1,1,12,1119,47,3.4,10.44,0.87,DEF
Pau,£4.5,Aston Villa,0,0,0,23,2019,55,2.3,12.22,0.5313043478260869,DEF
A.García,£4.0,Aston Villa,0,0,0,5,316,8,1.1,2.0,0.4,DEF
Alex Moreno,£4.0,Aston Villa,0,1,1,11,952,34,2.3,8.5,0.7727272727272727,DEF
Bogarde,£4.0,Aston Villa,0,0,0,5,473,6,0.8,1.5,0.3,DEF
Sousa,£4.0,Aston Villa,0,0,0,0,0,0,0.0,0.0,0.0,DEF
Yasin,£4.0,Aston Villa,0,0,0,0,0,0,0.0,0.0,0.0,DEF
Rogers,£7.0,Aston Villa,8,11,19,37,3115,161,4.4,23.0,0.6216216216216216,MID
Tielemans,£6.0,Aston Villa,3,7,10,35,3025,121,3.4,20.17,0.5762857142857143,MID
Bailey,£5.5,Aston Villa,1,2,3,14,1132,47,2.0,8.545,0.6103571428571428,MID
Buendía,£5.5,Aston Villa,0,0,0,0,89,11,0.9,2.0,0.0,MID
Iling Jr,£5.5,Aston Villa,0,0,0,0,0,0,0.0,0.0,0.0,MID
J.Ramsey,£5.5,Aston Villa,1,4,5,19,1616,66,2.3,12.0,0.631578947368421,MID
Malen,£5.5,Aston Villa,3,0,3,2,296,34,2.4,6.182,3.091,MID
McGinn,£5.5,Aston Villa,1,4,5,27,2217,78,2.3,14.18,0.5251851851851852,MID
Barkley,£5.0,Aston Villa,3,1,4,3,567,44,2.2,8.8,2.9333333333333336,MID
Barrenechea,£5.0,Aston Villa,0,0,0,0,0,0,0.0,0.0,0.0,MID
Dobbin,£5.0,Aston Villa,0,0,0,0,0,0,0.0,0.0,0.0,MID
Kamara,£5.0,Aston Villa,1,0,1,20,1720,57,2.2,11.4,0.5700000000000001,MID
Onana,£5.0,Aston Villa,3,0,3,20,1613,65,2.5,13.0,0.65,MID
Broggio,£4.5,Aston Villa,0,0,0,0,0,0,0.0,0.0,0.0,MID
Dendoncker,£4.5,Aston Villa,0,0,0,0,0,0,0.0,0.0,0.0,MID
Jimoh-Aloba,£4.5,Aston Villa,0,0,0,0,0,0,0.0,0.0,0.0,MID
Young,£4.5,Aston Villa,0,0,0,0,0,0,0.0,0.0,0.0,MID
Watkins,£9.0,Aston Villa,16,8,24,31,2593,186,4.9,20.67,0.6667741935483872,FWD
Redmond,£4.5,Aston Villa,0,0,0,0,0,0,0.0,0.0,0.0,FWD
Guessand,£6.5,Aston Villa,0,0,0,0,0,0,0.0,0.0,0.0,MID
Weiss,£4.5,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,GK
Green,£4.0,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,GK
Hladký,£4.0,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,GK
Roberts,£4.5,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,DEF
Walker,£4.5,Burnley,0,0,0,9,966,13,0.9,2.889,0.32099999999999995,DEF
Delcroix,£4.0,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,DEF
Dodgson,£4.0,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,DEF
Ekdal,£4.0,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,DEF
Estève,£4.0,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,DEF
Hartman,£4.0,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,DEF
Humphreys,£4.0,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,DEF
Jordan,£4.0,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,DEF
Lucas Pires,£4.0,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,DEF
Sambo,£4.0,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,DEF
Sonne,£4.0,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,DEF
Tuanzebe,£4.0,Burnley,0,1,1,20,1710,27,1.2,6.75,0.3375,DEF
Worrall,£4.0,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,DEF
Anthony,£5.5,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,MID
Benson,£5.5,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,MID
Bruun Larsen,£5.5,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,MID
Boateng,£5.0,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,MID
Churlinov,£5.0,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,MID
Cullen,£5.0,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,MID
Edwards,£5.0,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,MID
Hannibal,£5.0,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,MID
Koleosho,£5.0,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,MID
Laurent,£5.0,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,MID
Tchaouna,£5.0,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,MID
A.Ramsey,£4.5,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,MID
Adewumi,£4.5,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,MID
Banel,£4.5,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,MID
Trésor,£4.5,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,MID
Flemming,£5.5,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,FWD
Amdouni,£5.0,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,FWD
Foster,£5.0,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,FWD
Barnes,£4.5,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,FWD
Obafemi,£4.5,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,FWD
Dúbravka,£4.0,Burnley,0,0,0,10,900,44,4.4,11.0,1.1,GK
Ugochukwu,£5.0,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,MID
Broja,£5.5,Burnley,0,0,0,0,0,0,0.0,0.0,0.0,FWD
Neto,£4.5,Bournemouth,0,0,0,2,180,7,3.5,1.556,0.778,GK
Petrović,£4.5,Bournemouth,0,0,0,0,0,0,0.0,0.0,0.0,GK
Dennis,£4.0,Bournemouth,0,0,0,0,0,0,0.0,0.0,0.0,GK
McKenna,£4.0,Bournemouth,0,0,0,0,0,0,0.0,0.0,0.0,GK
Paulsen,£4.0,Bournemouth,0,0,0,0,0,0,0.0,0.0,0.0,GK
Zabarnyi,£5.0,Bournemouth,0,1,1,35,3109,94,2.6,18.8,0.5371428571428571,DEF
Senesi,£4.5,Bournemouth,0,0,0,13,1103,31,1.8,6.889,0.5299230769230769,DEF
Smith,£4.5,Bournemouth,0,0,0,19,1586,57,2.3,12.67,0.6668421052631579,DEF
Truffert,£4.5,Bournemouth,0,0,0,0,0,0,0.0,0.0,0.0,DEF
Akinmboni,£4.0,Bournemouth,0,0,0,0,0,0,0.0,0.0,0.0,DEF
Bevan,£4.0,Bournemouth,0,0,0,0,0,0,0.0,0.0,0.0,DEF
Hill,£4.0,Bournemouth,0,1,1,6,443,17,1.7,4.25,0.7083333333333334,DEF
