name,price,team,goals,assists,goal_contributions,games_played,minutes,total_points,points_per_game,roi,roi_per_gw,position
Fábio Vieira,£5.5,Arsenal,1,3,4,2,290,24,2.2,4.364,2.182,MID
G.Jesus,£7.0,Arsenal,4,7,11,17,1470,85,3.1,12.14,0.7141176470588235,FWD
Gabriel,£6.0,Arsenal,3,1,4,34,3042,149,4.1,24.83,0.7302941176470588,DEF
Havertz,£8.0,Arsenal,13,10,23,30,2627,180,4.9,22.5,0.75,FWD
J.Timber,£5.5,Arsenal,0,0,0,1,70,0,0.0,0.0,0.0,DEF
Jorginho,£5.0,Arsenal,0,2,2,10,913,44,1.8,8.8,0.8800000000000001,MID
Kiwior,£5.0,Arsenal,1,3,4,11,942,67,3.4,13.4,1.2181818181818183,DEF
Martinelli,£7.0,Arsenal,6,5,11,24,2010,118,3.4,16.86,0.7025,MID
Nelson,£5.0,Arsenal,0,0,0,1,256,16,1.1,3.2,3.2,MID
Nketiah,£6.0,Arsenal,5,4,9,10,1065,71,2.6,11.83,1.183,FWD
Nwaneri,£4.5,Arsenal,0,0,0,0,13,1,1.0,0.2222,0.0,MID
Ødegaard,£8.5,Arsenal,8,11,19,35,3098,186,5.3,21.88,0.6251428571428571,MID
Ramsdale,£4.5,Arsenal,0,0,0,6,540,20,3.3,4.444,0.7406666666666667,GK
Raya,£5.5,Arsenal,0,0,0,32,2880,135,4.2,24.55,0.7671875,GK
Rice,£6.5,Arsenal,7,9,16,37,3225,165,4.3,25.38,0.6859459459459459,MID
Saka,£10.0,Arsenal,16,12,28,35,2922,226,6.5,22.6,0.6457142857142858,MID
Saliba,£6.0,Arsenal,2,1,3,38,3420,164,4.3,27.33,0.7192105263157894,DEF
Thomas,£5.0,Arsenal,0,0,0,9,785,24,1.7,4.8,0.5333333333333333,MID
Tomiyasu,£5.0,Arsenal,2,1,3,10,1140,70,3.2,14.0,1.4,DEF
Trossard,£7.0,Arsenal,12,2,14,18,1633,138,4.1,19.71,1.095,MID
White,£6.5,Arsenal,4,5,9,35,2987,182,4.9,28.0,0.8,DEF
Zinchenko,£5.0,Arsenal,1,2,3,20,1717,104,3.9,20.8,1.04,DEF
Alex Moreno,£4.5,Aston Villa,2,0,2,11,1024,49,2.3,10.89,0.9900000000000001,DEF
Archer,£5.0,Aston Villa,4,3,7,21,1829,82,2.7,16.4,0.7809523809523808,FWD
Bailey,£6.5,Aston Villa,10,11,21,22,2063,148,4.2,22.77,1.035,MID
Barkley,£5.5,Aston Villa,5,5,10,30,2616,101,3.2,18.36,0.612,MID
Cash,£4.5,Aston Villa,2,2,4,23,2138,64,2.2,14.22,0.6182608695652174,DEF
Dendoncker,£4.5,Aston Villa,1,1,2,1,118,20,2.5,4.444,4.444,MID
Diaby,£6.5,Aston Villa,6,11,17,25,2168,142,3.7,21.85,0.8740000000000001,MID
Diego Carlos,£4.5,Aston Villa,0,0,0,20,1809,55,2.0,12.22,0.611,DEF
Digne,£4.5,Aston Villa,1,4,5,27,2405,85,2.6,18.89,0.6996296296296296,DEF
Dobbin,£5.0,Aston Villa,1,0,1,1,226,18,1.5,3.6,3.6,MID
Duran,£6.0,Aston Villa,5,1,6,3,461,50,2.2,8.333,2.7776666666666667,FWD
Kamara,£5.0,Aston Villa,0,1,1,20,1653,40,2.0,8.0,0.4,MID
Kesler-Hayden,£4.0,Aston Villa,0,0,0,0,5,3,1.0,0.75,0.0,DEF
Konsa,£4.5,Aston Villa,1,1,2,35,3069,91,2.6,20.22,0.5777142857142857,DEF
Maatsen,£5.0,Aston Villa,0,0,0,1,200,11,0.9,2.2,2.2,DEF
Martinez,£5.0,Aston Villa,0,0,0,34,3015,115,3.4,23.0,0.6764705882352942,GK
McGinn,£5.5,Aston Villa,6,5,11,35,3000,119,3.4,21.64,0.6182857142857143,MID
Mings,£4.5,Aston Villa,0,0,0,1,30,0,0.0,0.0,0.0,DEF
Olsen,£4.5,Aston Villa,0,0,0,4,405,17,3.4,3.778,0.9445,GK
Pau,£4.5,Aston Villa,2,0,2,27,2462,85,2.9,18.89,0.6996296296296296,DEF
Ramsey,£5.5,Aston Villa,1,1,2,8,848,29,1.8,5.273,0.659125,MID
Rogers,£5.0,Aston Villa,3,1,4,8,636,35,3.2,7.0,0.875,MID
Tielemans,£5.5,Aston Villa,2,6,8,17,1613,77,2.4,14.0,0.8235294117647058,MID
Watkins,£9.0,Aston Villa,19,18,37,37,3222,228,6.2,25.33,0.6845945945945946,FWD
Onana,£5.0,Aston Villa,2,0,2,23,2085,66,2.2,13.2,0.5739130434782609,MID
Aarons,£4.5,Bournemouth,0,1,1,13,1233,28,1.4,6.222,0.47861538461538466,DEF
Adams,£5.0,Bournemouth,0,0,0,1,118,5,1.7,1.0,1.0,MID
Anthony,£4.5,Bournemouth,0,0,0,2,151,3,1.0,0.6667,0.33335,MID
Brooks,£5.0,Bournemouth,1,1,2,2,271,23,1.8,4.6,2.3,MID
Christie,£5.0,Bournemouth,0,5,5,35,2908,90,2.4,18.0,0.5142857142857142,MID
Cook,£5.0,Bournemouth,0,3,3,32,2787,77,2.3,15.4,0.48125,MID
Enes Ünal,£5.5,Bournemouth,2,4,6,2,317,40,2.5,7.273,3.6365,FWD
Faivre,£5.0,Bournemouth,0,0,0,0,37,4,0.8,0.8,0.0,MID
H.Traorè,£4.5,Bournemouth,0,0,0,0,44,3,1.0,0.6667,0.0,MID
Hill,£4.0,Bournemouth,0,0,0,1,74,5,1.0,1.25,1.25,DEF
Jebbison,£4.5,Bournemouth,0,0,0,0,20,1,1.0,0.2222,0.0,FWD
Kerkez,£4.5,Bournemouth,0,2,2,22,1966,59,2.1,13.11,0.5959090909090908,DEF
Kluivert,£5.5,Bournemouth,7,1,8,26,1910,100,3.1,18.18,0.6992307692307692,MID
Mepham,£4.5,Bournemouth,0,1,1,6,613,16,1.6,3.556,0.5926666666666667,DEF
Neto,£4.5,Bournemouth,0,0,0,32,2880,110,3.4,24.44,0.76375,GK
O.Dango,£5.0,Bournemouth,1,2,3,12,1214,56,1.9,11.2,0.9333333333333332,MID
Philip,£5.0,Bournemouth,2,3,5,13,1385,60,2.1,12.0,0.9230769230769231,MID
Scott,£5.0,Bournemouth,1,1,2,11,1003,41,1.8,8.2,0.7454545454545454,MID
Semenyo,£5.5,Bournemouth,8,4,12,25,2099,107,3.2,19.45,0.778,MID
Senesi,£5.0,Bournemouth,4,5,9,26,2239,102,3.3,20.4,0.7846153846153846,DEF
