name,price,team,goals,assists,goal_contributions,games_played,minutes,total_points,points_per_game,roi,roi_per_gw,position
Fábio Vieira,£5.5,Arsenal,0,0,0,0,0,0,0.0,0.0,0.0,MID
G.Jesus,£7.0,Arsenal,0,0,0,0,5,0,0.0,0.0,0.0,FWD
Gabriel,£6.0,Arsenal,0,0,0,1,90,6,6.0,1.0,1.0,DEF
Havertz,£8.0,Arsenal,1,1,2,1,90,12,12.0,1.5,1.5,FWD
Hein,£4.0,Arsenal,0,0,0,0,0,0,0.0,0.0,0.0,GK
J.Timber,£5.5,Arsenal,0,0,0,0,21,1,1.0,0.1818,0.0,DEF
Jorginho,£5.0,Arsenal,0,0,0,0,0,0,0.0,0.0,0.0,MID
Kiwior,£5.0,Arsenal,0,0,0,0,0,0,0.0,0.0,0.0,DEF
Martinelli,£7.0,Arsenal,0,0,0,1,90,3,3.0,0.4286,0.4286,MID
Nelson,£5.0,Arsenal,0,0,0,0,0,0,0.0,0.0,0.0,MID
Nketiah,£6.0,Arsenal,0,0,0,0,0,0,0.0,0.0,0.0,FWD
Nwaneri,£4.5,Arsenal,0,0,0,0,0,0,0.0,0.0,0.0,MID
Ødegaard,£8.5,Arsenal,0,0,0,1,90,3,3.0,0.3529,0.3529,MID
Ramsdale,£4.5,Arsenal,0,0,0,0,0,0,0.0,0.0,0.0,GK
Raya,£5.5,Arsenal,0,0,0,1,90,8,8.0,1.455,1.455,GK
Rice,£6.5,Arsenal,0,0,0,1,84,3,3.0,0.4615,0.4615,MID
Saka,£10.0,Arsenal,1,1,2,1,79,12,12.0,1.2,1.2,MID
Saliba,£6.0,Arsenal,0,0,0,1,90,6,6.0,1.0,1.0,DEF
Thomas,£5.0,Arsenal,0,0,0,1,90,3,3.0,0.6,0.6,MID
Tierney,£4.5,Arsenal,0,0,0,0,0,0,0.0,0.0,0.0,DEF
Tomiyasu,£5.0,Arsenal,0,0,0,0,0,0,0.0,0.0,0.0,DEF
Trossard,£7.0,Arsenal,0,0,0,0,10,1,1.0,0.1429,0.0,MID
White,£6.5,Arsenal,0,0,0,1,90,6,6.0,0.9231,0.9231,DEF
Zinchenko,£5.0,Arsenal,0,0,0,1,68,6,6.0,1.2,1.2,DEF
Calafiori,£6.0,Arsenal,0,0,0,0,0,0,0.0,0.0,0.0,DEF
Lewis-Skelly,£4.5,Arsenal,0,0,0,0,0,0,0.0,0.0,0.0,MID
Alex Moreno,£4.5,Aston Villa,0,0,0,0,0,0,0.0,0.0,0.0,DEF
Bailey,£6.5,Aston Villa,0,0,0,1,73,1,1.0,0.1538,0.1538,MID
Barkley,£5.5,Aston Villa,0,0,0,0,0,0,0.0,0.0,0.0,MID
Barrenechea,£5.0,Aston Villa,0,0,0,0,0,0,0.0,0.0,0.0,MID
Buendia,£5.5,Aston Villa,0,0,0,0,0,0,0.0,0.0,0.0,MID
Cash,£4.5,Aston Villa,0,0,0,1,81,2,2.0,0.4444,0.4444,DEF
Dendoncker,£4.5,Aston Villa,0,0,0,0,0,0,0.0,0.0,0.0,MID
Diaby,£6.5,Aston Villa,0,0,0,0,0,0,0.0,0.0,0.0,MID
Diego Carlos,£4.5,Aston Villa,0,0,0,0,0,0,0.0,0.0,0.0,DEF
Digne,£4.5,Aston Villa,0,0,0,1,73,2,2.0,0.4444,0.4444,DEF
Dobbin,£5.0,Aston Villa,0,0,0,0,0,0,0.0,0.0,0.0,MID
Duran,£6.0,Aston Villa,1,0,1,0,28,6,6.0,1.0,0.0,FWD
Gauci,£4.0,Aston Villa,0,0,0,0,0,0,0.0,0.0,0.0,GK
Hause,£4.0,Aston Villa,0,0,0,0,0,0,0.0,0.0,0.0,DEF
Iling Jr,£5.5,Aston Villa,0,0,0,0,0,0,0.0,0.0,0.0,MID
Kamara,£5.0,Aston Villa,0,0,0,0,0,0,0.0,0.0,0.0,MID
Kesler-Hayden,£4.0,Aston Villa,0,0,0,0,0,0,0.0,0.0,0.0,DEF
Konsa,£4.5,Aston Villa,0,0,0,1,90,2,2.0,0.4444,0.4444,DEF
Maatsen,£5.0,Aston Villa,0,0,0,0,16,1,1.0,0.2,0.0,DEF
Marschall,£4.0,Aston Villa,0,0,0,0,0,0,0.0,0.0,0.0,GK
Martinez,£5.0,Aston Villa,0,0,0,1,90,3,3.0,0.6,0.6,GK
McGinn,£5.5,Aston Villa,0,0,0,1,61,2,2.0,0.3636,0.3636,MID
Mings,£4.5,Aston Villa,0,0,0,0,0,0,0.0,0.0,0.0,DEF
Nedeljkovic,£4.0,Aston Villa,0,0,0,0,8,1,1.0,0.25,0.0,DEF
Olsen,£4.5,Aston Villa,0,0,0,0,0,0,0.0,0.0,0.0,GK
Pau,£4.5,Aston Villa,0,0,0,1,90,2,2.0,0.4444,0.4444,DEF
Ramsey,£5.5,Aston Villa,0,1,1,0,28,4,4.0,0.7273,0.0,MID
Rogers,£5.0,Aston Villa,0,0,0,1,90,2,2.0,0.4,0.4,MID
Sinisalo,£4.0,Aston Villa,0,0,0,0,0,0,0.0,0.0,0.0,GK
Sousa,£4.0,Aston Villa,0,0,0,0,0,0,0.0,0.0,0.0,DEF
Tielemans,£5.5,Aston Villa,0,1,1,1,90,7,7.0,1.273,1.273,MID
Watkins,£9.0,Aston Villa,0,0,0,1,61,2,2.0,0.2222,0.2222,FWD
Onana,£5.0,Aston Villa,1,0,1,1,90,10,10.0,2.0,2.0,MID
Jaden,£5.5,Aston Villa,0,0,0,0,16,0,0.0,0.0,0.0,MID
Bogarde,£4.0,Aston Villa,0,0,0,0,0,0,0.0,0.0,0.0,DEF
